amount,Pengeluaran,year,month,day,category_0,category_1,category_2,account_Cash,account_Metro Card,account_Salary Bank,account_Savings Bank,type_0,type_1,type_2,Cluster
25.0,25000.0,2024,6,28,False,True,False,True,False,False,False,True,False,False,1
30.0,30000.0,2024,6,28,False,False,True,True,False,False,False,True,False,False,1
10.0,10000.0,2024,6,28,False,True,False,True,False,False,False,True,False,False,2
10.0,10000.0,2024,6,28,False,True,False,True,False,False,False,True,False,False,2
358.0,358000.0,2024,6,28,False,False,True,True,False,False,False,True,False,False,0
40.0,40000.0,2024,6,27,False,True,False,True,False,False,False,True,False,False,1
20.0,20000.0,2024,6,27,False,False,True,True,False,False,False,True,False,False,2
20.0,20000.0,2024,6,27,False,False,True,True,False,False,False,True,False,False,2
207.0,207000.0,2024,6,27,False,True,False,True,False,False,False,True,False,False,3
100.0,100000.0,2024,6,27,True,False,False,True,False,False,False,True,False,False,3
95.0,95000.0,2024,6,27,False,True,False,True,False,False,False,True,False,False,3
50.0,50000.0,2024,6,27,False,False,True,True,False,False,False,True,False,False,1
500.0,500000.0,2024,6,27,True,False,False,True,False,False,False,True,False,False,0
150.0,150000.0,2024,6,27,True,False,False,False,False,False,True,True,False,False,3
20.0,20000.0,2024,6,27,False,False,True,True,False,False,False,True,False,False,2
10.0,10000.0,2024,6,27,False,False,True,False,False,True,False,True,False,False,2
200.0,200000.0,2024,6,27,True,False,False,True,False,False,False,True,False,False,3
0.0,0.0,2024,6,27,True,False,False,False,False,True,False,False,False,True,2
200.0,200000.0,2024,6,26,False,False,True,False,False,True,False,True,False,False,3
20.0,20000.0,2024,6,26,False,False,True,False,False,True,False,True,False,False,2
20.0,20000.0,2024,6,24,True,False,False,False,False,True,False,True,False,False,2
240.0,240000.0,2024,6,23,True,False,False,False,False,True,False,True,False,False,3
20.0,20000.0,2024,6,23,False,False,True,False,False,True,False,True,False,False,2
70.0,70000.0,2024,6,23,False,True,False,False,False,True,False,True,False,False,1
102.0,102000.0,2024,6,23,False,False,True,False,False,True,False,True,False,False,3
44.0,44000.0,2024,6,23,False,True,False,False,False,True,False,True,False,False,1
600.0,600000.0,2024,6,23,True,False,False,False,False,True,False,True,False,False,0
40.0,40000.0,2024,6,21,False,False,True,False,False,True,False,True,False,False,1
60.0,60000.0,2024,6,20,False,False,True,False,False,True,False,True,False,False,1
20.0,20000.0,2024,6,20,False,True,False,False,False,True,False,True,False,False,2
259.0,259000.0,2024,6,20,True,False,False,False,False,True,False,True,False,False,3
20.0,20000.0,2024,6,19,True,False,False,False,False,True,False,True,False,False,2
20.0,20000.0,2024,6,17,False,True,False,True,False,False,False,True,False,False,2
260.0,260000.0,2024,6,17,False,False,True,True,False,False,False,True,False,False,3
20.0,20000.0,2024,6,17,False,True,False,True,False,False,False,True,False,False,2
35.0,35000.0,2024,6,17,True,False,False,False,False,True,False,False,True,False,1
250.0,250000.0,2024,6,17,False,True,False,False,False,True,False,True,False,False,3
120.0,120000.0,2024,6,17,False,False,True,True,False,False,False,True,False,False,3
500.0,500000.0,2024,6,16,True,False,False,True,False,False,False,True,False,False,0
170.0,170000.0,2024,6,16,False,False,True,False,False,True,False,True,False,False,3
200.0,200000.0,2024,6,16,False,True,False,False,False,True,False,True,False,False,3
500.0,500000.0,2024,6,16,True,False,False,True,False,False,False,True,False,False,0
0.0,0.0,2024,6,16,True,False,False,False,False,True,False,False,False,True,2
35.0,35000.0,2024,6,16,True,False,False,False,False,True,False,True,False,False,1
500.0,500000.0,2024,6,15,True,False,False,False,False,True,False,True,False,False,0
100.0,100000.0,2024,6,14,False,False,True,True,False,False,False,True,False,False,3
100.0,100000.0,2024,6,14,True,False,False,True,False,False,False,False,True,False,3
100.0,100000.0,2024,6,14,False,False,True,False,False,True,False,True,False,False,3
208.5,208500.0,2024,6,13,False,True,False,False,False,True,False,True,False,False,3
200.0,200000.0,2024,6,13,False,False,True,False,False,True,False,True,False,False,3
10.0,10000.0,2024,6,11,False,True,False,False,False,True,False,True,False,False,2
30.0,30000.0,2024,6,10,False,True,False,False,False,True,False,True,False,False,1
200.0,200000.0,2024,6,9,False,False,True,False,False,True,False,True,False,False,3
799.0,799000.0,2024,6,9,True,False,False,False,False,True,False,True,False,False,0
198.88,198880.0,2024,6,9,False,True,False,False,False,True,False,True,False,False,3
500.0,500000.0,2024,6,7,True,False,False,False,False,True,False,True,False,False,0
90.0,90000.0,2024,6,7,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,6,7,True,False,False,False,False,True,False,True,False,False,3
100.0,100000.0,2024,6,7,False,False,True,False,False,True,False,True,False,False,3
200.0,200000.0,2024,6,7,True,False,False,False,False,True,False,False,True,False,3
100.0,100000.0,2024,6,7,True,False,False,True,False,False,False,False,True,False,3
175.0,175000.0,2024,6,5,True,False,False,False,False,True,False,True,False,False,3
200.0,200000.0,2024,6,5,True,False,False,False,False,False,True,True,False,False,3
0.0,0.0,2024,6,5,True,False,False,False,False,True,False,False,False,True,2
35.0,35000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,1
30.0,30000.0,2024,6,5,False,True,False,False,False,True,False,True,False,False,1
67.0,67000.0,2024,6,5,False,False,True,True,False,False,False,True,False,False,1
155.0,155000.0,2024,6,5,True,False,False,False,False,False,True,True,False,False,3
10.0,10000.0,2024,6,5,False,False,True,False,False,True,False,True,False,False,2
199.0,199000.0,2024,6,5,True,False,False,False,False,True,False,True,False,False,3
200.0,200000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,3
70.0,70000.0,2024,6,5,True,False,False,False,False,True,False,False,True,False,1
200.0,200000.0,2024,6,4,True,False,False,False,False,True,False,True,False,False,3
90.0,90000.0,2024,6,3,False,True,False,True,False,False,False,True,False,False,1
300.0,300000.0,2024,6,3,True,False,False,False,False,False,True,True,False,False,3
100.0,100000.0,2024,6,3,False,False,True,False,False,True,False,True,False,False,3
520.0,520000.0,2024,5,31,False,True,False,False,False,False,True,True,False,False,0
54.0,54000.0,2024,5,31,False,False,True,False,False,True,False,True,False,False,1
30.0,30000.0,2024,5,31,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,5,31,False,False,True,False,False,True,False,True,False,False,3
10.0,10000.0,2024,5,31,True,False,False,True,False,False,False,True,False,False,2
190.0,190000.0,2024,5,30,False,True,False,False,False,True,False,True,False,False,3
35.0,35000.0,2024,5,30,True,False,False,False,False,False,True,True,False,False,1
35.0,35000.0,2024,5,29,False,True,False,False,False,True,False,True,False,False,1
11.0,11000.0,2024,5,29,True,False,False,False,False,True,False,False,True,False,2
30.0,30000.0,2024,5,29,False,True,False,False,False,True,False,True,False,False,1
160.0,160000.0,2024,5,28,True,False,False,False,False,True,False,True,False,False,3
30.0,30000.0,2024,5,28,False,False,True,True,False,False,False,True,False,False,1
35.0,35000.0,2024,5,28,False,True,False,False,False,True,False,True,False,False,1
0.0,0.0,2024,5,28,True,False,False,False,False,True,False,False,False,True,2
20.0,20000.0,2024,5,28,False,False,True,True,False,False,False,True,False,False,2
155.0,155000.0,2024,5,27,True,False,False,False,False,True,False,True,False,False,3
500.0,500000.0,2024,5,27,True,False,False,False,False,True,False,True,False,False,0
56.0,56000.0,2024,5,27,False,False,True,False,False,True,False,True,False,False,1
30.0,30000.0,2024,5,27,False,True,False,False,False,True,False,True,False,False,1
4.0,4000.0,2024,5,26,True,False,False,True,False,False,False,True,False,False,2
250.0,250000.0,2024,5,26,True,False,False,False,False,True,False,True,False,False,3
20.0,20000.0,2024,5,26,True,False,False,False,False,True,False,True,False,False,2
20.0,20000.0,2024,5,25,False,True,False,False,False,True,False,True,False,False,2
60.0,60000.0,2024,5,25,False,True,False,False,False,True,False,True,False,False,1
70.0,70000.0,2024,5,25,False,True,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,5,25,False,False,True,False,False,True,False,True,False,False,2
40.0,40000.0,2024,5,24,False,False,True,True,False,False,False,True,False,False,1
20.0,20000.0,2024,5,24,False,False,True,False,False,True,False,True,False,False,2
30.0,30000.0,2024,5,24,False,True,False,False,False,True,False,True,False,False,1
555.0,555000.0,2024,5,24,True,False,False,False,False,True,False,True,False,False,0
30.0,30000.0,2024,5,23,False,True,False,False,False,True,False,True,False,False,1
259.0,259000.0,2024,5,21,True,False,False,False,False,True,False,True,False,False,3
470.82,470820.0,2024,5,21,True,False,False,False,False,True,False,True,False,False,0
10.0,10000.0,2024,5,21,False,True,False,False,False,True,False,True,False,False,2
50.0,50000.0,2024,5,21,True,False,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,5,21,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,5,21,False,False,True,False,False,True,False,True,False,False,3
40.0,40000.0,2024,5,21,False,False,True,True,False,False,False,True,False,False,1
75.0,75000.0,2024,5,20,False,True,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,5,20,False,True,False,False,False,True,False,True,False,False,2
35.0,35000.0,2024,5,19,True,False,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,5,19,True,False,False,False,False,True,False,True,False,False,1
14.0,14000.0,2024,5,19,False,True,False,False,False,True,False,True,False,False,2
30.0,30000.0,2024,5,17,False,True,False,False,False,True,False,True,False,False,1
30.0,30000.0,2024,5,16,False,True,False,False,False,True,False,True,False,False,1
130.0,130000.0,2024,5,15,False,True,False,False,False,True,False,True,False,False,3
220.0,220000.0,2024,5,15,False,True,False,False,False,True,False,True,False,False,3
35.0,35000.0,2024,5,15,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,5,15,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,5,15,False,False,True,False,False,True,False,True,False,False,1
0.0,0.0,2024,5,14,False,False,True,False,False,True,False,False,False,True,2
10.0,10000.0,2024,5,14,False,True,False,True,False,False,False,True,False,False,2
20.0,20000.0,2024,5,14,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,5,14,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,14,False,False,True,False,True,False,False,True,False,False,1
30.0,30000.0,2024,5,12,False,True,False,False,False,True,False,True,False,False,1
60.0,60000.0,2024,5,10,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,5,10,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,10,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,9,True,False,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,5,9,False,True,False,False,False,True,False,True,False,False,2
30.0,30000.0,2024,5,9,False,True,False,False,False,True,False,True,False,False,1
80.0,80000.0,2024,5,8,False,True,False,False,False,True,False,True,False,False,1
10.0,10000.0,2024,5,8,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,5,8,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,8,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,5,8,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,5,7,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,7,False,False,True,False,True,False,False,True,False,False,1
120.0,120000.0,2024,5,7,False,True,False,False,False,True,False,True,False,False,3
10.0,10000.0,2024,5,7,False,False,True,True,False,False,False,True,False,False,2
10.0,10000.0,2024,5,6,False,False,True,True,False,False,False,True,False,False,2
100.0,100000.0,2024,5,6,True,False,False,False,False,True,False,True,False,False,3
35.0,35000.0,2024,5,6,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,5,6,False,False,True,False,True,False,False,True,False,False,1
40.0,40000.0,2024,5,6,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,5,6,False,True,False,False,False,True,False,True,False,False,3
80.0,80000.0,2024,5,6,False,False,True,False,False,True,False,False,True,False,1
30.0,30000.0,2024,5,6,False,False,True,True,False,False,False,True,False,False,1
200.0,200000.0,2024,5,4,False,False,True,False,False,True,False,True,False,False,3
20.0,20000.0,2024,5,4,True,False,False,False,False,True,False,True,False,False,2
100.0,100000.0,2024,5,3,False,False,True,False,False,True,False,True,False,False,3
266.9,266900.0,2024,5,3,True,False,False,False,False,True,False,True,False,False,3
50.0,50000.0,2024,5,3,False,False,True,False,False,True,False,True,False,False,1
35.0,35000.0,2024,5,2,True,False,False,False,False,True,False,True,False,False,1
80.0,80000.0,2024,5,2,False,True,False,False,False,True,False,True,False,False,1
10.0,10000.0,2024,5,2,False,False,True,True,False,False,False,True,False,False,2
20.0,20000.0,2024,5,2,False,False,True,True,False,False,False,True,False,False,2
80.0,80000.0,2024,5,2,False,True,False,False,False,True,False,True,False,False,1
30.0,30000.0,2024,5,2,False,True,False,False,False,True,False,True,False,False,1
0.0,0.0,2024,5,2,False,False,True,False,False,True,False,False,False,True,2
199.0,199000.0,2024,5,2,True,False,False,False,False,True,False,True,False,False,3
35.0,35000.0,2024,5,2,True,False,False,False,False,True,False,True,False,False,1
30.0,30000.0,2024,5,1,False,False,True,False,False,True,False,True,False,False,1
155.0,155000.0,2024,5,1,True,False,False,False,False,True,False,True,False,False,3
60.0,60000.0,2024,5,1,False,True,False,False,False,True,False,True,False,False,1
0.0,0.0,2024,5,1,False,False,True,False,False,True,False,False,False,True,2
0.0,0.0,2024,5,1,False,False,True,False,False,True,False,False,False,True,2
35.0,35000.0,2024,5,1,False,False,True,True,False,False,False,True,False,False,1
35.0,35000.0,2024,5,1,False,False,True,False,True,False,False,True,False,False,1
30.0,30000.0,2024,5,1,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,30,True,False,False,False,False,True,False,False,True,False,1
10.0,10000.0,2024,4,30,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,30,False,False,True,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,30,False,False,True,False,False,True,False,True,False,False,1
90.0,90000.0,2024,4,30,False,True,False,False,False,True,False,True,False,False,1
10.0,10000.0,2024,4,29,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,29,False,False,True,False,False,True,False,True,False,False,1
80.0,80000.0,2024,4,29,False,False,True,True,False,False,False,True,False,False,1
10.0,10000.0,2024,4,29,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,29,False,False,True,False,False,True,False,True,False,False,1
500.0,500000.0,2024,4,28,True,False,False,False,False,True,False,True,False,False,0
30.0,30000.0,2024,4,28,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,3
40.0,40000.0,2024,4,27,True,False,False,False,False,True,False,True,False,False,1
90.0,90000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,1
60.0,60000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,1
120.0,120000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,3
60.0,60000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,4,27,False,True,False,False,False,True,False,True,False,False,3
100.0,100000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,3
300.0,300000.0,2024,4,27,True,False,False,False,False,True,False,False,True,False,3
100.0,100000.0,2024,4,27,False,False,True,False,False,True,False,True,False,False,3
49.0,49000.0,2024,4,26,False,True,False,False,False,True,False,True,False,False,1
500.0,500000.0,2024,4,26,True,False,False,False,False,True,False,True,False,False,0
10.0,10000.0,2024,4,26,False,True,False,False,False,True,False,True,False,False,2
49.0,49000.0,2024,4,26,False,True,False,False,False,True,False,True,False,False,1
120.0,120000.0,2024,4,26,False,True,False,False,False,True,False,True,False,False,3
60.0,60000.0,2024,4,26,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,4,26,False,False,True,False,False,True,False,True,False,False,3
20.0,20000.0,2024,4,25,False,True,False,False,False,True,False,True,False,False,2
100.0,100000.0,2024,4,25,False,False,True,False,False,True,False,True,False,False,3
699.0,699000.0,2024,4,24,True,False,False,False,False,True,False,True,False,False,0
100.0,100000.0,2024,4,24,False,False,True,False,False,True,False,True,False,False,3
50.0,50000.0,2024,4,24,False,False,True,False,False,True,False,True,False,False,1
60.0,60000.0,2024,4,24,False,True,False,False,False,True,False,True,False,False,1
795.0,795000.0,2024,4,23,False,True,False,False,False,True,False,True,False,False,0
20.0,20000.0,2024,4,23,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,23,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,23,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,22,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,22,False,False,True,False,True,False,False,True,False,False,1
430.0,430000.0,2024,4,22,False,False,True,False,False,True,False,True,False,False,0
259.0,259000.0,2024,4,22,True,False,False,False,False,True,False,True,False,False,3
44.02,44020.0,2024,4,22,False,False,True,False,False,False,True,False,True,False,1
20.0,20000.0,2024,4,22,False,False,True,False,False,True,False,True,False,False,2
20.0,20000.0,2024,4,22,False,False,True,True,False,False,False,True,False,False,2
30.0,30000.0,2024,4,22,False,False,True,True,False,False,False,True,False,False,1
30.0,30000.0,2024,4,22,True,False,False,True,False,False,False,False,True,False,1
35.0,35000.0,2024,4,22,False,False,True,False,True,False,False,True,False,False,1
40.0,40000.0,2024,4,21,False,True,False,False,False,True,False,True,False,False,1
70.0,70000.0,2024,4,21,False,True,False,True,False,False,False,True,False,False,1
25.0,25000.0,2024,4,21,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,4,21,False,False,True,False,False,True,False,True,False,False,3
10.0,10000.0,2024,4,21,True,False,False,True,False,False,False,True,False,False,2
799.0,799000.0,2024,4,20,True,False,False,False,False,True,False,True,False,False,0
83.0,83000.0,2024,4,20,False,True,False,False,False,True,False,True,False,False,1
89.52,89520.0,2024,4,20,True,False,False,False,False,True,False,False,True,False,1
88.01,88010.0,2024,4,20,False,True,False,False,False,True,False,True,False,False,1
30.0,30000.0,2024,4,20,False,True,False,True,False,False,False,True,False,False,1
10.0,10000.0,2024,4,19,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,19,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,19,False,False,True,False,True,False,False,True,False,False,1
75.0,75000.0,2024,4,18,False,True,False,False,False,True,False,True,False,False,1
130.0,130000.0,2024,4,18,False,True,False,False,False,True,False,True,False,False,3
5.0,5000.0,2024,4,17,False,False,True,True,False,False,False,True,False,False,2
0.0,0.0,2024,4,17,False,False,True,False,False,True,False,False,False,True,2
35.0,35000.0,2024,4,17,False,False,True,True,False,False,False,True,False,False,1
0.0,0.0,2024,4,17,False,False,True,False,False,True,False,False,False,True,2
35.0,35000.0,2024,4,16,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,16,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,16,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,15,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,15,False,False,True,False,True,False,False,True,False,False,1
60.0,60000.0,2024,4,15,False,True,False,False,False,True,False,True,False,False,1
616.32,616320.0,2024,4,15,True,False,False,False,False,True,False,True,False,False,0
35.0,35000.0,2024,4,15,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,15,False,False,True,True,False,False,False,True,False,False,2
30.0,30000.0,2024,4,14,False,True,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,4,12,False,False,True,True,False,False,False,True,False,False,2
0.0,0.0,2024,4,12,False,False,True,False,False,True,False,False,False,True,2
35.0,35000.0,2024,4,12,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,12,False,False,True,False,True,False,False,True,False,False,1
40.0,40000.0,2024,4,12,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,10,False,False,True,False,True,False,False,True,False,False,1
30.0,30000.0,2024,4,10,False,False,True,True,False,False,False,True,False,False,1
70.99,70990.0,2024,4,10,False,False,True,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,10,True,False,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,10,False,False,True,False,True,False,False,True,False,False,1
140.0,140000.0,2024,4,10,False,True,False,False,False,True,False,True,False,False,3
35.0,35000.0,2024,4,8,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,8,False,False,True,True,False,False,False,True,False,False,2
30.0,30000.0,2024,4,7,False,True,False,False,False,True,False,True,False,False,1
250.0,250000.0,2024,4,7,True,False,False,False,False,True,False,True,False,False,3
10.0,10000.0,2024,4,6,False,True,False,False,False,True,False,True,False,False,2
10.0,10000.0,2024,4,6,False,False,True,True,False,False,False,True,False,False,2
30.0,30000.0,2024,4,6,False,True,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,4,6,False,False,True,True,False,False,False,True,False,False,2
30.0,30000.0,2024,4,5,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,5,False,False,True,False,True,False,False,True,False,False,1
0.0,0.0,2024,4,5,False,False,True,False,False,True,False,False,False,True,2
309.84,309840.0,2024,4,5,True,False,False,False,False,True,False,True,False,False,3
25.0,25000.0,2024,4,5,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,4,5,False,False,True,False,True,False,False,True,False,False,1
75.0,75000.0,2024,4,4,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,4,4,True,False,False,False,False,True,False,True,False,False,3
761.44,761440.0,2024,4,4,True,False,False,False,False,True,False,False,True,False,0
0.0,0.0,2024,4,3,False,False,True,False,False,True,False,False,False,True,2
35.0,35000.0,2024,4,3,True,False,False,False,False,True,False,False,True,False,1
10.0,10000.0,2024,4,3,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,4,3,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,2,False,False,True,False,True,False,False,True,False,False,1
35.0,35000.0,2024,4,2,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,4,2,False,True,False,True,False,False,False,True,False,False,2
60.0,60000.0,2024,4,2,False,True,False,True,False,False,False,True,False,False,1
60.0,60000.0,2024,4,2,True,False,False,True,False,False,False,False,True,False,1
10.0,10000.0,2024,4,2,False,False,True,True,False,False,False,True,False,False,2
199.0,199000.0,2024,4,1,True,False,False,False,False,False,True,True,False,False,3
35.0,35000.0,2024,4,1,True,False,False,False,False,False,True,True,False,False,1
100.0,100000.0,2024,4,1,True,False,False,True,False,False,False,False,True,False,3
160.0,160000.0,2024,4,1,False,True,False,False,False,True,False,True,False,False,3
50.0,50000.0,2024,4,1,False,True,False,False,False,True,False,True,False,False,1
50.0,50000.0,2024,4,1,False,False,True,True,False,False,False,True,False,False,1
35.0,35000.0,2024,3,31,False,False,True,False,True,False,False,True,False,False,1
10.0,10000.0,2024,3,31,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,3,31,True,False,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,3,31,True,False,False,False,False,True,False,True,False,False,1
150.0,150000.0,2024,3,31,True,False,False,False,False,True,False,True,False,False,3
100.0,100000.0,2024,3,30,True,False,False,True,False,False,False,True,False,False,3
90.0,90000.0,2024,3,29,False,True,False,False,False,True,False,True,False,False,1
35.0,35000.0,2024,3,29,True,False,False,False,False,True,False,True,False,False,1
60.0,60000.0,2024,3,29,False,True,False,False,False,True,False,True,False,False,1
100.0,100000.0,2024,3,28,True,False,False,False,False,True,False,True,False,False,3
250.0,250000.0,2024,3,28,False,True,False,False,False,True,False,True,False,False,3
5.0,5000.0,2024,3,28,False,False,True,False,False,True,False,True,False,False,2
35.0,35000.0,2024,3,28,True,False,False,False,False,True,False,False,True,False,1
0.0,0.0,2024,3,28,False,False,True,False,False,True,False,False,False,True,2
70.0,70000.0,2024,3,27,False,True,False,True,False,False,False,True,False,False,1
40.0,40000.0,2024,3,26,False,True,False,False,False,True,False,True,False,False,1
20.0,20000.0,2024,3,26,False,False,True,True,False,False,False,True,False,False,2
10.0,10000.0,2024,3,25,False,False,True,True,False,False,False,True,False,False,2
10.0,10000.0,2024,3,25,False,False,True,True,False,False,False,True,False,False,2
35.0,35000.0,2024,3,25,False,False,True,False,True,False,False,True,False,False,1
